rowid,school,district,street,city,state,zip
2964,Casimir Middle (Torrance Unified),Torrance Unified,17220 Casimir Ave.,Torrance,CA,90504-2936
2965,Edison Elementary (Torrance Unified),Torrance Unified,3800 182Nd St.,Torrance,CA,90504-4837
2966,Edward J. Richardson Middle (Torrance Unified),Torrance Unified,23751 Nancy Lee Ln.,Torrance,CA,90505-5416
2967,Evelyn Carr Elementary (Torrance Unified),Torrance Unified,3404 West 168th St.,Torrance,CA,90504-1752
2968,Fern Elementary (Torrance Unified),Torrance Unified,1314 Fern Ave.,Torrance,CA,90503-6125
2969,First Lutheran (Torrance Unified),Torrance Unified,2900 West Carson St.,Torrance,CA,90503-6005
2970,Gene Drevno Community Day (Torrance Unified),Torrance Unified,2291 West Washington Ave.,Torrance,CA,90501-3450
2971,Hamilton Adult Education Center (Torrance Unified),Torrance Unified,2606 182nd St.,Torrance,CA,90504-5227
2972,Hickory Elementary (Torrance Unified),Torrance Unified,2800 West 227th St.,Torrance,CA,90505-2912
2973,Hickory Tree School (Torrance Unified),Torrance Unified,21720 Madrona Ave,Torrance,CA,90503-7111
2974,Hosanna International Home-School Academy (Torrance Unified),Torrance Unified,3621 Garnet St. #6,Torrance,CA,90503-3370
2975,Howard Wood Elementary (Torrance Unified),Torrance Unified,2250 West 235th St.,Torrance,CA,90501-5705
2976,J. H. Hull Middle (Torrance Unified),Torrance Unified,2080 West 231st St.,Torrance,CA,90501-5448
2977,Jefferson Middle (Torrance Unified),Torrance Unified,21717 Talisman St.,Torrance,CA,90503-6441
2978,John Adams Elementary (Torrance Unified),Torrance Unified,2121 238Th St.,Torrance,CA,90501-6116
2979,Joseph Arnold Elementary (Torrance Unified),Torrance Unified,4100 227th St.,Torrance,CA,90505-2246
2980,LAUNCH Preschool (Torrance Unified),Torrance Unified,4000 West 227th St.,Torrance,CA,90505-2208
2981,Lincoln Elementary (Torrance Unified),Torrance Unified,2418 West 166th St.,Torrance,CA,90504-1813
2982,Madrona Middle (Torrance Unified),Torrance Unified,21364 Madrona Ave.,Torrance,CA,90503-5948
2983,Mr. J's Academy (Torrance Unified),Torrance Unified,"22760 Hawthorne Blvd., Ste. 106",Torrance,CA,90505-3675
2984,Nativity Catholic Elementary (Torrance Unified),Torrance Unified,2371 Carson St.,Torrance,CA,90501-3141
2985,North High (Torrance Unified),Torrance Unified,3620 West 182nd St.,Torrance,CA,90504-3935
2986,Opus Music of South Bay (Torrance Unified),Torrance Unified,2219 Torrance Blvd,Torrance,CA,90501-2517
2987,Owen H. Griffith Adult (Torrance Unified),Torrance Unified,2291 West Washington Ave.,Torrance,CA,90501
2988,Philip Magruder Middle (Torrance Unified),Torrance Unified,4100 West 185th St.,Torrance,CA,90504-4706
2989,Riviera Elementary (Torrance Unified),Torrance Unified,365 Paseo de Arena,Torrance,CA,90505-6226
2990,Riviera Hall Lutheran School (Torrance Unified),Torrance Unified,330 Palos Verdes Blvd,Redondo Beach,CA,90277-6304
2991,Seaside Elementary (Torrance Unified),Torrance Unified,4651 Sharynne Ln.,Torrance,CA,90505-3355
2992,Shery (Kurt T.) High (Continuation) (Torrance Unified),Torrance Unified,2600 Vine St.,Torrance,CA,90501-4330
2993,South Bay Christian School (Torrance Unified),Torrance Unified,4400 Del Amo Blvd.,Torrance,CA,90503-2121
2994,South Bay High School (Torrance Unified),Torrance Unified,4025 W. 226th St.,Torrance,CA,90505-2340
2995,South High (Torrance Unified),Torrance Unified,4801 Pacific Coast Hwy.,Torrance,CA,90505-5544
2996,St. Catherine Laboure Elementary (Torrance Unified),Torrance Unified,3846 Redondo Beach Blvd.,Torrance,CA,90504-1114
2997,St. James Elementary (Torrance Unified),Torrance Unified,4625 Garnet St.,Torrance,CA,90503-2218
2998,Switzer Learning Center (Torrance Unified),Torrance Unified,2201 Amapola Ct.,Torrance,CA,90501-1431
2999,Torrance Elementary (Torrance Unified),Torrance Unified,2125 Lincoln Ave.,Torrance,CA,90501-4437
3000,Torrance High (Torrance Unified),Torrance Unified,2200 Carson St.,Torrance,CA,90501-3135
3001,Towers Elementary (Torrance Unified),Torrance Unified,5600 Towers St.,Torrance,CA,90503-1161
3002,Victor Elementary (Torrance Unified),Torrance Unified,4820 Spencer St.,Torrance,CA,90503-2254
3003,Walteria Elementary (Torrance Unified),Torrance Unified,24456 Madison St.,Torrance,CA,90505-6653
3004,West High (Torrance Unified),Torrance Unified,20401 Victor St.,Torrance,CA,90503-2255
3005,Yukon Elementary (Torrance Unified),Torrance Unified,17815 Yukon Ave.,Torrance,CA,90504-3927
3006,Tri-Cities ROP (Tri-Cities ROP),Tri-Cities ROP,"10800 Ben Avon St., Unit E",Whittier,CA,90606-3013
3007,Epiphany Catholic (Valle Lindo Elementary),Valle Lindo Elementary,10915 Michael Hunt Dr.,South El Monte,CA,91733-3425
3008,New Temple (Valle Lindo Elementary),Valle Lindo Elementary,11033 East Central Ave.,South El Monte,CA,91733-3907
3009,Dean L. Shively (Valle Lindo Elementary),Valle Lindo Elementary,1431 North Central Ave.,South El Monte,CA,91733-3388
3010,Valley Charter Elementary (Valley Charter District),Valley Charter District,16514 Nordhoff St.,North Hills,CA,91343-3724
3011,Valley Charter Middle (Valley Charter District),Valley Charter District,14646 Sherman Way,Van Nuys,CA,91405-5860
3012,Valley International Preparatory High (Valley Charter District),Valley Charter District,18827 Roscoe Blvd.,Northridge,CA,91324-4545
3013,Valor Academy Elementary (Valor Academy District),Valor Academy District,8755 Woodman Ave.,Arleta,CA,91331-6506
3014,Valor Academy High (Valor Academy District),Valor Academy District,9356 Lemona Ave.,North Hills,CA,91343-3416
3015,Valor Academy Middle (Valor Academy District),Valor Academy District,9034 Burnet Ave.,North Hills,CA,91343-2319
3016,Everest Value (Value Schools District),Value Schools District,668 South Catalina St.,Los Angeles,CA,90005-1708
3017,Downtown Value (Value Schools District),Value Schools District,950 West Washington Blvd.,Los Angeles,CA,90015-3312
3018,University Preparatory Value High (Value Schools District),Value Schools District,1929 West Pico Blvd.,Los Angeles,CA,90006-5008
3019,Central City Value (Value Schools District),Value Schools District,221 North Westmoreland Ave.,Los Angeles,CA,90004-4815
3020,South Pointe Middle (Walnut Valley Unified),Walnut Valley Unified,20671 Larkstone Dr.,Walnut,CA,91789-3863
3021,ALLAIS SCHOOL (Walnut Valley Unified),Walnut Valley Unified,20525 VALLEY BLVD.,WALNUT,CA,91789-2730
3022,Castle Rock Elementary (Walnut Valley Unified),Walnut Valley Unified,2975 Castle Rock Rd.,Diamond Bar,CA,91765-3420
3023,Chaparral Middle (Walnut Valley Unified),Walnut Valley Unified,1408 South Spruce Tree Dr.,Diamond Bar,CA,91765-2571
3024,Collegewood Elementary (Walnut Valley Unified),Walnut Valley Unified,20725 East Collegewood Dr.,Walnut Valley,CA,91789-1118
3025,Cyrus J. Morris Elementary (Walnut Valley Unified),Walnut Valley Unified,19875 East Calle Baja,Walnut,CA,91789-2246
3026,Diamond Bar High (Walnut Valley Unified),Walnut Valley Unified,21400 Pathfinder Rd.,Diamond Bar,CA,91765-2747
3027,Evergreen Elementary (Walnut Valley Unified),Walnut Valley Unified,2450 South Evergreen Springs,Diamond Bar,CA,91765-3566
3028,Institute of Knowledge (Walnut Valley Unified),Walnut Valley Unified,1009 Via Sorella,Diamond Bar,CA,91789-3929
3029,Learning Tree Walnut Education Center (Walnut Valley Unified),Walnut Valley Unified,20781 AMAR Rd. UNIT 7,WALNUT,CA,91789-5039
3030,Leonard G. Westhoff Elementary (Walnut Valley Unified),Walnut Valley Unified,1323 Country Hollow,Walnut,CA,91789-1245
3031,Maple Hill Elementary (Walnut Valley Unified),Walnut Valley Unified,1350 Maple Hill Rd.,Diamond Bar,CA,91765-2436
3032,Quail Summit Elementary (Walnut Valley Unified),Walnut Valley Unified,23330 East Quail Summit Dr.,Diamond Bar,CA,91765-3031
3033,Ron Hockwalt Academies (Continuation) (Walnut Valley Unified),Walnut Valley Unified,476 South Lemon Ave.,Walnut,CA,91789-2963
3034,Suzanne Middle (Walnut Valley Unified),Walnut Valley Unified,525 Suzanne Rd.,Walnut,CA,91789-1938
3035,Tzu Chi Elementary School (Walnut Valley Unified),Walnut Valley Unified,"1920 S. Brea Canyon Cut-off Rd, Walnut",Walnut,CA,91789-3406
3036,Vejar Elementar (Walnut Valley Unified),Walnut Valley Unified,20222 Vejar Rd.,Walnut,CA,91789-2334
3037,Walnut Elementary (Walnut Valley Unified),Walnut Valley Unified,841 South Glenwick,Walnut,CA,91789-3108
3038,Walnut High (Walnut Valley Unified),Walnut Valley Unified,400 North Pierre Rd.,Walnut,CA,91789-2535
3039,Walnut Valley Adult (Walnut Valley Unified),Walnut Valley Unified,880 South Lemon Ave.,Walnut,CA,91789-2931
3040,California Elementary (West Covina Unified),West Covina Unified,1125 Bainbridge,West Covina,CA,91790-4856
3041,California Virtual Academy @ Los Angeles (West Covina Unified),West Covina Unified,50 Moreland Rd.,Simi Valley,CA,93065-1659
3042,Cameron Elementary (West Covina Unified),West Covina Unified,1225 East Cameron Ave.,West Covina,CA,91790-3858
3043,Coronado High (Continuation) (West Covina Unified),West Covina Unified,1500 East Francisquito Ave.,West Covina,CA,91791-3823
3044,Edgewood High (West Covina Unified),West Covina Unified,1624 West Durness,West Covina,CA,91790-3337
3045,Edgewood Middle (West Covina Unified),West Covina Unified,1625 West Durness,West Covina,CA,91790-3337
3046,Hollencrest Middle (West Covina Unified),West Covina Unified,2101 East Merced Ave.,West Covina,CA,91791-3661
3047,Margett Pathway Academy (West Covina Unified),West Covina Unified,1501 West Del Norte St.,West Covina,CA,91790-2105
3048,Merced Elementary (West Covina Unified),West Covina Unified,1545 East Merced Ave.,West Covina,CA,91791-3555
3049,Merlinda Elementary (West Covina Unified),West Covina Unified,1120 South Valinda Ave.,West Covina,CA,91790-5361
3050,Monte Vista Elementary (West Covina Unified),West Covina Unified,1615 West Eldred Ave.,West Covina,CA,91790-1460
3051,Mt. SAC Early College Academy at West Covina (West Covina Unified),West Covina Unified,2226 East Rio Verde Dr.,West Covina,CA,91791-2067
3052,Orangewood Elementary (West Covina Unified),West Covina Unified,1440 South Orange Ave.,West Covina,CA,91790-3406
3053,San Jose Charter Academy (West Covina Unified),West Covina Unified,2021 West Alwood St.,West Covina,CA,91790-3259
3054,South Hills Academy (West Covina Unified),West Covina Unified,1600 East Francisquito Ave.,West Covina,CA,91791-3855
3055,St. Christopher Parish School (West Covina Unified),West Covina Unified,900 West Christopher St.,West Covina,CA,91790-3703
3056,Vine Elementary (West Covina Unified),West Covina Unified,1901 East Vine Ave.,West Covina,CA,91791-3248
3057,Walnut Grove Intermediate (West Covina Unified),West Covina Unified,614 East Vine,West Covina,CA,91790-5103
3058,Wescove Elementary (West Covina Unified),West Covina Unified,1010 West Vine Ave.,West Covina,CA,91791-4034
3059,West Covina High (West Covina Unified),West Covina Unified,1609 East Cameron Ave.,West Covina,CA,91791-3108
3060,Hillview Middle (Westside Union Elementary),Westside Union Elementary,40525 Peonza Ln.,Palmdale,CA,93551-2647
3061,Hope Christian Academy (Westside Union Elementary),Westside Union Elementary,6015 W. Ave. J-8,Lancaster,CA,93536-7506
3062,Joe Walker Middle (Westside Union Elementary),Westside Union Elementary,5632 West Ave. L-8,Lancaster,CA,93536-3713
3063,Leona Valley Elementary (Westside Union Elementary),Westside Union Elementary,9063 West Leona Ave.,Leona Valley,CA,93551-7330
3064,Quartz Hill Elementary (Westside Union Elementary),Westside Union Elementary,41820 North 50th St. West,Quartz Hill,CA,93536-2961
3065,Rancho Vista Elementary (Westside Union Elementary),Westside Union Elementary,40641 Peonza Ln.,Palmdale,CA,93551-2648
3066,Sundown Elementary (Westside Union Elementary),Westside Union Elementary,6151 West Ave. J-8,Lancaster,CA,93536-4540
3067,Valley View Elementary (Westside Union Elementary),Westside Union Elementary,3310 West Ave. L-8,Lancaster,CA,93536-3409
3068,Anaverde Hills (Westside Union Elementary),Westside Union Elementary,2902 Greenbrier St.,Palmdale,CA,93551-5518
3069,AVSRP Academy (Westside Union Elementary),Westside Union Elementary,6337 W. Ave. J2,Lancaster,CA,93536-7549
3070,Cottonwood Elementary (Westside Union Elementary),Westside Union Elementary,2740 West Ave. P-8,Palmdale,CA,93551-1543
3071,Covenant Christian (Westside Union Elementary),Westside Union Elementary,44856 Mariposa Dr.,Lancaster,CA,93536-8374
3072,Del Sur Senior Elementary (Westside Union Elementary),Westside Union Elementary,9023 West Ave. H,Lancaster,CA,93536-8011
3073,Esperanza Elementary(Palmdale) (Westside Union Elementary),Westside Union Elementary,40521 35th St. West,Palmdale,CA,93551-5647
3074,Gregg Anderson Academy (Westside Union Elementary),Westside Union Elementary,5151 West Avenue N-8,Palmdale,CA,93551
3075,B'nai Ha Aliyah - Children of Ascent Academy (Whittier City Elementary),Whittier City Elementary,7408 Gretna Ave.,Whittier,CA,90606-2431
3076,Calvary Chapel Christian School Of Whittier (Whittier City Elementary),Whittier City Elementary,12817 East Hadley St.,Whittier,CA,90601-4007
3077,Christian Sorensen Elementary (Whittier City Elementary),Whittier City Elementary,11493 East Rosehedge Dr.,Whittier,CA,90606-1996
3078,Daniel Phelan Elementary (Whittier City Elementary),Whittier City Elementary,7150 South Cully Ave.,Whittier,CA,90606-1718
3079,Early Childhood Education Center (Whittier City Elementary),Whittier City Elementary,5777 Lockheed Ave.,Whittier,CA,90606-1030
3080,Hadley (Whittier City Elementary),Whittier City Elementary,11703 East Hadley St,Whittier,CA,90601-3906
3081,Katherine Edwards Middle (Whittier City Elementary),Whittier City Elementary,6812 South Norwalk Blvd.,Whittier,CA,90606-1740
3082,Keystone Montessori Preschool Whittier (Whittier City Elementary),Whittier City Elementary,7056 Washington Ave,Whittier,CA,90602-1415
3083,Longfellow Elementary (Whittier) (Whittier City Elementary),Whittier City Elementary,6005 South Magnolia Ave.,Whittier,CA,90601-3260
3084,Lou Henry Hoover Elementary (Whittier City Elementary),Whittier City Elementary,6302 South Alta Ave.,Whittier,CA,90601-4601
3085,Lydia Jackson Elementary (Whittier City Elementary),Whittier City Elementary,8015 South Painter Ave.,Whittier,CA,90602-2506
3086,Mill Elementary (Whittier City Elementary),Whittier City Elementary,4030 South Workman Mill Rd.,Whittier,CA,90601-1795
3087,Orange Grove Elementary (Whittier City Elementary),Whittier City Elementary,10626 East Orange Grove Ave.,Whittier,CA,90601-2145
3088,PLYMOUTH CHRISTIAN SCHOOL (Whittier City Elementary),Whittier City Elementary,12058 Beverly Blvd,Whittier,CA,90601-2948
3089,St. Mary of the Assumption Elementary (Whittier City Elementary),Whittier City Elementary,7218 South Pickering Ave.,Whittier,CA,90602-1217
3090,The Broadoaks School of Whittier College (Whittier City Elementary),Whittier City Elementary,13514 Olive Dr.,Whittier,CA,90601-4404
3091,Wallen L. Andrews Elementary (Whittier City Elementary),Whittier City Elementary,1010 South Caraway Dr.,Whittier,CA,90601-1121
3092,Walter F. Dexter Middle (Whittier City Elementary),Whittier City Elementary,11532 East Floral Dr.,Whittier,CA,90601-2832
3093,West Whittier Elementary (Whittier City Elementary),Whittier City Elementary,6411 South Norwalk Blvd.,Whittier,CA,90606-1598
3094,St. Paul High School (Whittier Union High District),Whittier Union High District,9635 Greenleaf Ave.,Santa Fe Springs,CA,90670-3001
3095,Whittier High (Whittier Union High District),Whittier Union High District,12417 East Philadelphia St.,Whittier,CA,90601-3933
3096,Adult Division Center (Whittier Union High District),Whittier Union High District,9401 South Painter Ave.,Whittier,CA,90605-2729
3097,California High (Whittier Union High District),Whittier Union High District,9800 South Mills Ave.,Whittier,CA,90604-1030
3098,Frontier High (Continuation) (Whittier Union High District),Whittier Union High District,9401 South Painter Ave.,Whittier,CA,90605-2729
3099,Keystone Academy (Whittier Union High District),Whittier Union High District,11807 7/8 Slauson Ave.,Santa Fe Springs,CA,90670-2219
3100,La Serna High (Whittier Union High District),Whittier Union High District,15301 East Youngwood Dr.,Whittier,CA,90605-1345
3101,Pioneer High (Whittier Union High District),Whittier Union High District,10800 Ben Avon,Whittier,CA,90606-3010
3102,Santa Fe High (Whittier Union High District),Whittier Union High District,10400 South Orr and Day Rd.,Santa Fe Springs,CA,90670-4161
3103,Sierra Vista High (Alternative) (Whittier Union High District),Whittier Union High District,9401 South Painter Ave.,Whittier,CA,90605-2729
3104,Arroyo Seco Junior High (William S. Hart Union High),William S. Hart Union High,27171 North Vista Delgado Dr.,Valencia,CA,91354-2244
3105,Bowman (Jereann) High (Continuation) (William S. Hart Union High),William S. Hart Union High,21508 Centre Pointe Pkwy.,Santa Clarita,CA,91350-2947
3106,Canyon High (William S. Hart Union High),William S. Hart Union High,19300 West Nadal St.,Canyon Country,CA,91351-1253
3107,Castaic High (William S. Hart Union High),William S. Hart Union High,31575 Valley Creek Rd.,Castaic,CA,91384
3108,Golden Oak Adult (William S. Hart Union High),William S. Hart Union High,23201 Dalbey Dr.,Valencia,CA,91355
3109,Golden Valley High (William S. Hart Union High),William S. Hart Union High,27051 Robert C. Lee Pkwy.,Santa Clarita,CA,91321-0500
3110,La Mesa Junior High (William S. Hart Union High),William S. Hart Union High,26623 May Way,Santa Clarita,CA,91351-5577
3111,Learning Post Academy (Alternative) (William S. Hart Union High),William S. Hart Union High,21445 Centre Pointe Pkwy.,Santa Clarita,CA,91350-2684
3112,Lighthouse Christian Academy (William S. Hart Union High),William S. Hart Union High,26006 Manzano Ct.,Valencia,CA,91355-3330
3113,Mission View Public (William S. Hart Union High),William S. Hart Union High,26334 Citrus St.,Santa Clarita,CA,91355-5323
3114,Opportunities for Learning - Santa Clarita (William S. Hart Union High),William S. Hart Union High,27616 Newhall Ranch Rd.,Valencia,CA,91355-3482
3115,Placerita Junior High (William S. Hart Union High),William S. Hart Union High,25015 North Newhall Ave.,Newhall,CA,91321-1098
3116,Rancho Pico Junior High (William S. Hart Union High),William S. Hart Union High,26250 West Valencia Blvd.,Stevenson Ranch,CA,91381-0663
